title,author(s),length
Dead Reckoning,Joshua Dalzelle,Length: 8 hrs and 26 mins
Property of a Rich Nigga 2,Jessica N. Watkins,Length: 8 hrs and 15 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
The Well of Ascension,Brandon Sanderson,Length: 28 hrs and 56 mins
Glow of the Everflame,Penn Cole,Length: 19 hrs and 23 mins
The Age of Magical Overthinking,Amanda Montell,Length: 6 hrs
Lord of Chaos,Robert Jordan,Length: 41 hrs and 32 mins
The Holy Grail of Investing,"Tony Robbins,Christopher Zook",Length: 11 hrs and 28 mins
Words of Radiance,Brandon Sanderson,Length: 48 hrs and 13 mins
Joe Ledger,"Jonathan Maberry,Kevin J. Anderson,Wayne Brady,Maurice Broaddus,Scott Sigler,John G. Hartness,Heather Graham,Kat Richardson,Peter Clines,Keith R.A. Decandido,Tori Eldridge,Dana Fredsti,Kevin Ikenberry,Bryan Thomas Schmidt,Marie Whittaker",Length: 11 hrs and 59 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Hunger Games: Special Edition,Suzanne Collins,Length: 10 hrs and 35 mins
Murder by Candlelight,Faith Martin,Length: 8 hrs and 38 mins
A Grave Robbery,Deanna Raybourn,Length: 13 hrs
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
Hábitos atómicos (Latino neutro),James Clear,Length: 9 hrs and 1 min
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Length: 8 hrs and 18 mins
Rune Seeker 2,"J.M. Clarke,C.J. Thompson",Length: 25 hrs and 3 mins
Crown of Midnight,Sarah J. Maas,Length: 12 hrs and 43 mins
A Clash of Kings,George R.R. Martin,Length: 37 hrs and 12 mins
Third Eye,Felicia Day,Length: 6 hrs and 56 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
Slaying the Vampire Conqueror,Carissa Broadbent,Length: 11 hrs and 11 mins
House of Sky and Breath,Sarah J. Maas,Length: 27 hrs and 42 mins
Sober on a Drunk Planet: The Challenge,"Sean Alexander,Sober on a Drunk Planet",Length: 5 hrs and 57 mins
Black Ocean: Mirth & Mayhem Complete Collection,J.S. Morin,Length: 91 hrs and 5 mins
The Mystery of the Blue Train,Agatha Christie,Length: 7 hrs and 34 mins
Grilled Armageddon,Dakota Krout,Length: 13 hrs and 45 mins
The Familiar,Leigh Bardugo,Length: 12 hrs and 30 mins
Holly,Stephen King,Length: 15 hrs and 24 mins
Oathbringer,Brandon Sanderson,Length: 55 hrs and 5 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
Success for Life,Paul McKenna,Length: 2 hrs and 51 mins
The Two Towers,J. R. R. Tolkien,Length: 20 hrs and 46 mins
Shoot for the Moon,Gina LaManna,Length: 7 hrs and 3 mins
Take Control of Your Life,Mel Robbins,Length: 10 hrs and 3 mins
The Edge,David Baldacci,Length: 11 hrs and 45 mins
The Chronicles of Narnia Complete Audio Collection,C. S. Lewis,Length: 33 hrs and 45 mins
Reality Check: Making the Best of The Situation,"Mike ""The Situation"" Sorrentino,Andy Symonds",Length: 9 hrs and 28 mins
Ensnared,Rebecca Quinn,Length: 13 hrs and 28 mins
Heir of Fire,Sarah J. Maas,Length: 17 hrs and 56 mins
A Night of Pleasure and Wrath,Maddison Cole,Length: 11 hrs and 8 mins
Limitless Expanded Edition,Jim Kwik,Length: 17 hrs and 4 mins
Catching Fire,Suzanne Collins,Length: 11 hrs and 3 mins
Fairy Tale,Stephen King,Length: 24 hrs and 6 mins
Hercule Poirot: The Complete Short Stories,Agatha Christie,Length: 35 hrs and 5 mins
The Primal Hunter 7 - A LitRPG Adventure,Zogarth,Length: 17 hrs and 49 mins
Rhythm of War,Brandon Sanderson,Length: 57 hrs and 26 mins
1984,George Orwell,Length: 11 hrs and 22 mins
The Fires of Heaven,Robert Jordan,Length: 36 hrs and 27 mins
Outbound Flight,Timothy Zahn,Length: 17 hrs and 36 mins
Too Late,Colleen Hoover,Length: 10 hrs and 19 mins
A Storm of Swords,George R.R. Martin,Length: 47 hrs and 34 mins
Come As You Are: Revised and Updated,Emily Nagoski PhD,Length: 11 hrs and 30 mins
Iron Gold,Pierce Brown,Length: 23 hrs and 23 mins
The Days of Lot,Mark Goodwin,Length: 7 hrs and 10 mins
The Shadow Rising,Robert Jordan,Length: 41 hrs and 13 mins
How to ADHD,Jessica McCabe,Length: 8 hrs and 58 mins
The Seed Detective,"Adam Alexander,Tim Lang - foreword",Length: 8 hrs and 30 mins
Defiance of the Fall 11,"TheFirstDefier,JF Brink",Length: 24 hrs and 47 mins
Hayden's World: Volume 2,S.D. Falchetti,Length: 13 hrs and 13 mins
Tan poca vida [A Little Life],"Hanya Yanagihara,Aurora Echevarría Pérez - traductor",Length: 29 hrs and 39 mins
Soul of a Witch,Harley LaRoux,Length: 14 hrs and 42 mins
Day Trading Attention,Gary Vaynerchuk,Length: 7 hrs and 45 mins
Immortal Prince,"Caroline Peckham,Susanne Valenti",Length: 13 hrs and 49 mins
Tower of Dawn,Sarah J. Maas,Length: 22 hrs and 39 mins
To Challenge Heaven,"David Weber,Chris Kennedy",Length: 11 hrs and 32 mins
Never Finished,David Goggins,Length: 11 hrs and 6 mins
House of Earth and Blood,Sarah J. Maas,Length: 27 hrs and 50 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
The Spy Coast,Tess Gerritsen,Length: 10 hrs and 23 mins
Turtle Terror,Jasmine Webb,Length: 6 hrs and 6 mins
Preservation,Seth Ring,Length: 13 hrs and 15 mins
The Fyodor Dostoyevsky Complete Collection,Fyodor Dostoyevsky,Length: 225 hrs
The Wise Man's Fear,Patrick Rothfuss,Length: 42 hrs and 55 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
Beast Origin Realm,"A.P. Gore,Patricia Jones",Length: 11 hrs and 29 mins
Fourth Wing (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,Length: 7 hrs and 52 mins
Atlas of the Heart,Brené Brown,Length: 8 hrs and 29 mins
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Length: 11 hrs and 49 mins
Killing Floor,Lee Child,Length: 17 hrs and 47 mins
Unnatural Death,Patricia Cornwell,Length: 11 hrs and 48 mins
Read Write Own,Chris Dixon,Length: 8 hrs and 9 mins
Kill Your Husbands,Jack Heath,Length: 9 hrs and 8 mins
Ladies of the Lake,Cathy Gohlke,Length: 12 hrs and 27 mins
The Mad Mick Box Set Volume 1,Franklin Horton,Length: 26 hrs and 23 mins
In the Midst of the Darkest Hour,Latisha Sexton,Length: 9 hrs and 1 min
Venice,Dennis Romano,Length: 24 hrs and 30 mins
Resurrection Walk,Michael Connelly,Length: 10 hrs and 30 mins
The Secret,"Lee Child,Andrew Child",Length: 9 hrs and 14 mins
The Ball at Versailles,Danielle Steel,Length: 9 hrs and 15 mins
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Length: 20 hrs and 36 mins
Citizens,Simon Schama,Length: 36 hrs and 48 mins
The Complete Dark Days Series,Ryan Schow,Length: 38 hrs and 55 mins
The Bee Sting,Paul Murray,Length: 26 hrs and 10 mins
System Function,Tom Larcombe,Length: 13 hrs and 57 mins
The Battle of the Labyrinth,Rick Riordan,Length: 10 hrs and 31 mins
Fundamentals of Data Analytics,Russell Dawson,Length: 4 hrs and 20 mins
Rich Dad Poor Dad,Robert T. Kiyosaki,Length: 6 hrs and 9 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
The Fall of Cadia,Robert Rath,Length: 19 hrs and 42 mins
Untangle Your Emotions,Jennie Allen,Length: 7 hrs and 30 mins
Keep,Anna Hackett,Length: 5 hrs and 20 mins
A Wreath of Red Roses,Karen Baugh Menuhin,Length: 8 hrs and 44 mins
Relight My Fire,C. K. McDonnell,Length: 14 hrs and 36 mins
A Little Luck,Tia Louise,Length: 8 hrs and 37 mins
The Case of the Felonious Faire,Drew Hayes,Length: 7 hrs and 46 mins
Flame,Adriana Locke,Length: 7 hrs and 1 min
Inheritance,Christopher Paolini,Length: 31 hrs and 17 mins
A Court of Wings and Ruin,Sarah J. Maas,Length: 25 hrs and 9 mins
The Fellowship of the Ring,J. R. R. Tolkien,Length: 19 hrs and 7 mins
Lies in the Dark,Nicole Fanning,Length: 16 hrs and 36 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
Heal Your Nervous System,Linnea Passaler,Length: 12 hrs and 53 mins
"The Financial Times Guide to Strategy, 5th Edition",Richard Koch,Length: 13 hrs and 26 mins
Woven by Gold,Elizabeth Helen,Length: 17 hrs and 25 mins
The Heart Is the Strongest Muscle,Tia Toomey,Length: 9 hrs
The Ideal Team Player,Patrick M. Lencioni,Length: 8 hrs
If I Go Missing,Leslie Wolfe,Length: 10 hrs and 41 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
The Dungeon Anarchist's Cookbook,Matt Dinniman,Length: 16 hrs and 54 mins
Fight Right,"Julie Schwartz Gottman PhD,John Gottman PhD",Length: 10 hrs and 21 mins
Survivor's Quest,Timothy Zahn,Length: 18 hrs and 49 mins
Will Trent: Books 2-4,Karin Slaughter,Length: 42 hrs and 41 mins
"Thinking, Fast and Slow",Daniel Kahneman,Length: 20 hrs and 2 mins
Inheritance,Nora Roberts,Length: 13 hrs and 58 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
Greenlights,Matthew McConaughey,Length: 6 hrs and 42 mins
A Fire in the Flesh,Jennifer L. Armentrout,Length: 24 hrs and 3 mins
Induction,Sean Oswald,Length: 12 hrs and 20 mins
Mark of the Fool 4,J.M. Clarke,Length: 19 hrs and 45 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
The Return of the King,J. R. R. Tolkien,Length: 18 hrs and 19 mins
Fire and Ash,Sara Cate,Length: 2 hrs and 52 mins
Jurassic Park,Michael Crichton,Length: 15 hrs and 10 mins
The Running Grave,Robert Galbraith,Length: 34 hrs and 14 mins
The Sea of Monsters,Rick Riordan,Length: 7 hrs and 55 mins
God of Fury,Rina Kent,Length: 15 hrs and 59 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Chaos Agent,Lee Winter,Length: 12 hrs and 14 mins
The Complete Sinful Men Collection,Lauren Blakely,Length: 36 hrs and 38 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Mockingjay,Suzanne Collins,Length: 11 hrs and 19 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
Brisingr,Christopher Paolini,Length: 29 hrs and 34 mins
Caught Sleeping,Jen Lyon,Length: 10 hrs and 1 min
Dirty Filthy Rich,Laurelin Paige,Length: 55 hrs and 30 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
The Last Olympian,Rick Riordan,Length: 11 hrs
Thesaurize,Dakota Krout,Length: 11 hrs and 40 mins
Better Broken,Sean J. Rogers,Length: 4 hrs and 41 mins
A Court of Frost and Starlight,Sarah J. Maas,Length: 6 hrs and 23 mins
Mike Mentzer Method,Mick Southerland,Length: 2 hrs and 54 mins
Anachronist: A Time Travel Adventure,Andrew Hastie,Length: 11 hrs and 45 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
Seven Shades of Evil,Robert McCammon,Length: 17 hrs and 34 mins
Living Untethered,Michael A. Singer,Length: 5 hrs and 32 mins
The Infinite and the Divine,Robert Rath,Length: 13 hrs and 21 mins
Kingdom of Ash,Sarah J. Maas,Length: 33 hrs and 11 mins
Never Kiss a Fae,"Lexi C. Foss,J.R. Thorn",Length: 33 hrs and 10 mins
A People's History of the United States,Howard Zinn,Length: 34 hrs and 8 mins
Come Together,Emily Nagoski PhD,Length: 12 hrs and 2 mins
Between Never and Forever,Brit Benson,Length: 14 hrs and 23 mins
